user_id,date,mood
1,2017-01-01,5
2,2017-01-01,4
3,2017-01-01,5
4,2017-01-01,3
5,2017-01-01,5
6,2017-01-01,3
7,2017-01-01,2
8,2017-01-01,5
9,2017-01-01,5
10,2017-01-01,2
11,2017-01-01,4
12,2017-01-01,5
13,2017-01-01,1
14,2017-01-01,2
15,2017-01-01,3
16,2017-01-01,1
17,2017-01-01,2
18,2017-01-01,1
19,2017-01-01,2
20,2017-01-01,5
21,2017-01-01,1
22,2017-01-01,3
23,2017-01-01,5
24,2017-01-01,3
25,2017-01-01,5
26,2017-01-01,4
27,2017-01-01,5
28,2017-01-01,2
29,2017-01-01,1
30,2017-01-01,3
31,2017-01-01,3
32,2017-01-01,2
33,2017-01-01,3
34,2017-01-01,2
35,2017-01-01,4
36,2017-01-01,5
37,2017-01-01,1
38,2017-01-01,5
39,2017-01-01,2
40,2017-01-01,1
41,2017-01-01,1
42,2017-01-01,5
43,2017-01-01,3
44,2017-01-01,1
45,2017-01-01,5
46,2017-01-01,1
47,2017-01-01,3
48,2017-01-01,5
49,2017-01-01,1
50,2017-01-01,3
51,2017-01-01,2
53,2017-01-01,3
54,2017-01-01,5
55,2017-01-01,1
56,2017-01-01,5
57,2017-01-01,3
58,2017-01-01,3
59,2017-01-01,1
60,2017-01-01,5
61,2017-01-01,1
62,2017-01-01,1
63,2017-01-01,3
64,2017-01-01,4
65,2017-01-01,1
66,2017-01-01,5
67,2017-01-01,1
68,2017-01-01,1
69,2017-01-01,2
70,2017-01-01,1
71,2017-01-01,4
72,2017-01-01,4
73,2017-01-01,5
74,2017-01-01,1
75,2017-01-01,5
76,2017-01-01,2
77,2017-01-01,3
78,2017-01-01,3
79,2017-01-01,5
80,2017-01-01,1
81,2017-01-01,5
82,2017-01-01,2
83,2017-01-01,2
84,2017-01-01,1
85,2017-01-01,1
86,2017-01-01,5
87,2017-01-01,2
88,2017-01-01,4
89,2017-01-01,1
90,2017-01-01,5
91,2017-01-01,3
92,2017-01-01,2
93,2017-01-01,3
94,2017-01-01,4
95,2017-01-01,5
96,2017-01-01,2
97,2017-01-01,2
98,2017-01-01,5
99,2017-01-01,3
100,2017-01-01,2
101,2017-01-01,5
102,2017-01-01,1
103,2017-01-01,3
104,2017-01-01,4
105,2017-01-01,5
106,2017-01-01,5
107,2017-01-01,2
108,2017-01-01,3
109,2017-01-01,4
110,2017-01-01,2
111,2017-01-01,4
112,2017-01-01,4
113,2017-01-01,2
114,2017-01-01,3
115,2017-01-01,3
116,2017-01-01,3
117,2017-01-01,2
118,2017-01-01,4
119,2017-01-01,5
120,2017-01-01,1
121,2017-01-01,4
122,2017-01-01,1
123,2017-01-01,2
124,2017-01-01,4
125,2017-01-01,2
126,2017-01-01,2
127,2017-01-01,1
128,2017-01-01,4
129,2017-01-01,1
130,2017-01-01,1
131,2017-01-01,3
132,2017-01-01,2
133,2017-01-01,2
134,2017-01-01,3
135,2017-01-01,4
136,2017-01-01,3
137,2017-01-01,3
138,2017-01-01,4
139,2017-01-01,2
140,2017-01-01,1
141,2017-01-01,1
142,2017-01-01,4
143,2017-01-01,3
144,2017-01-01,1
145,2017-01-01,4
146,2017-01-01,1
147,2017-01-01,4
148,2017-01-01,5
149,2017-01-01,5
150,2017-01-01,5
151,2017-01-01,4
152,2017-01-01,1
153,2017-01-01,3
154,2017-01-01,1
155,2017-01-01,1
156,2017-01-01,2
157,2017-01-01,3
158,2017-01-01,3
159,2017-01-01,2
160,2017-01-01,5
161,2017-01-01,1
162,2017-01-01,4
163,2017-01-01,4
164,2017-01-01,2
165,2017-01-01,5
166,2017-01-01,5
167,2017-01-01,3
168,2017-01-01,1
169,2017-01-01,3
170,2017-01-01,1
171,2017-01-01,3
172,2017-01-01,3
173,2017-01-01,3
174,2017-01-01,3
175,2017-01-01,2
176,2017-01-01,4
177,2017-01-01,4
179,2017-01-01,1
180,2017-01-01,2
182,2017-01-01,3
183,2017-01-01,3
184,2017-01-01,5
185,2017-01-01,4
186,2017-01-01,2
187,2017-01-01,3
188,2017-01-01,1
189,2017-01-01,1
190,2017-01-01,2
191,2017-01-01,4
192,2017-01-01,1
193,2017-01-01,5
194,2017-01-01,4
195,2017-01-01,2
196,2017-01-01,2
197,2017-01-01,2
198,2017-01-01,5
199,2017-01-01,3
200,2017-01-01,1
201,2017-01-01,3
202,2017-01-01,5
203,2017-01-01,3
204,2017-01-01,1
205,2017-01-01,3
206,2017-01-01,2
207,2017-01-01,1
208,2017-01-01,2
209,2017-01-01,1
210,2017-01-01,5
211,2017-01-01,5
212,2017-01-01,3
213,2017-01-01,2
214,2017-01-01,5
215,2017-01-01,3
216,2017-01-01,2
217,2017-01-01,4
218,2017-01-01,1
219,2017-01-01,1
220,2017-01-01,2
221,2017-01-01,5
222,2017-01-01,2
223,2017-01-01,2
224,2017-01-01,3
225,2017-01-01,3
226,2017-01-01,5
227,2017-01-01,5
228,2017-01-01,2
229,2017-01-01,5
230,2017-01-01,4
231,2017-01-01,2
232,2017-01-01,1
233,2017-01-01,4
234,2017-01-01,4
235,2017-01-01,3
236,2017-01-01,2
237,2017-01-01,1
238,2017-01-01,2
239,2017-01-01,2
240,2017-01-01,4
241,2017-01-01,2
242,2017-01-01,5
243,2017-01-01,5
244,2017-01-01,3
245,2017-01-01,4
246,2017-01-01,3
247,2017-01-01,5
248,2017-01-01,5
249,2017-01-01,4
250,2017-01-01,1
251,2017-01-01,3
252,2017-01-01,1
253,2017-01-01,5
254,2017-01-01,1
255,2017-01-01,5
256,2017-01-01,4
257,2017-01-01,2
258,2017-01-01,2
259,2017-01-01,3
260,2017-01-01,5
261,2017-01-01,2
262,2017-01-01,3
263,2017-01-01,4
264,2017-01-01,1
265,2017-01-01,4
266,2017-01-01,1
267,2017-01-01,5
268,2017-01-01,1
269,2017-01-01,2
270,2017-01-01,1
